"price","address","squares","type","year","age","bed","bath","tax","fee"
"$998,000","1106 5639 Hampton Place, Vancouver West, BC","1,091 sq.ft.","Residential, Condo","2000","18","2","2","$1,673",NA
"$998,000","506 2655 Cranberry Drive, Vancouver West, BC","887 sq.ft.","Residential, Condo","2001","17","2","2","$1,921",NA
"$998,000","1702 8333 Anderson Road, Richmond, BC","1,015 sq.ft.","Residential, Condo","2012","6","3","2","$2,313",NA
"$998,000","102 655 W 41st Avenue, Vancouver West, BC","621 sq.ft.","Residential, Condo","2017","1","1","1",NA,NA
"$998,000","1701 608 Belmont Street, New Westminster, BC","1,325 sq.ft.","Residential, Condo","2013","5","3","3","$3,189",NA
"$998,000","3101 111 W Georgia Street, Vancouver West, BC","814 sq.ft.","Residential, Condo","2007","11","2","1","$2,202",NA
"$998,000","202 1959 W 2nd Avenue, Vancouver West, BC","1,026 sq.ft.","Residential, Condo","1993","25","2","2","$2,231",NA
"$998,000","3205 1199 Marinaside Crescent, Vancouver West, BC","761 sq.ft.","Residential, Condo","1999","19","1","1","$2,197",NA
"$998,000","1607 1331 Alberni Street, Vancouver West, BC","749 sq.ft.","Residential, Condo","1999","19","2","2","$1,940",NA
"$998,000","408 5790 East Boulevard, Vancouver West, BC","987 sq.ft.","Residential, Condo","2000","18","2","2","$2,263",NA
"$998,000","507 233 Robson Street, Vancouver West, BC","982 sq.ft.","Residential, Condo","2009","9","2","2","$2,212",NA
"$998,000","2877 Alberta Street, Vancouver West, BC","1,221 sq.ft.","Residential, Condo","2016","2","2","2+1","$3,814",NA
"$998,000","4205 6538 Nelson Avenue, Burnaby, BC","786 sq.ft.","Residential, Condo","2017","1","2","2","$1,406",NA
"$998,000","939 E 11th Avenue, Vancouver East, BC","1,152 sq.ft.","Residential, Condo","1988","30","3","3+1","$3,743",NA
"$998,000","1804 938 Smithe Street, Vancouver West, BC","860 sq.ft.","Residential, Condo","2005","13","2","2","$2,138",NA
"$998,000","306 3088 W 41st Avenue, Vancouver West, BC","1,119 sq.ft.","Residential, Condo","2001","17","2","2","$2,214",NA
"$998,000","608 2528 Maple Street, Vancouver West, BC","873 sq.ft.","Residential, Condo","2009","9","2","2","$2,022",NA
"$998,000","707 1308 Hornby Street, Vancouver West, BC","750 sq.ft.","Residential, Condo","2014","4","2","1","$1,718",NA
"$998,000","103 4387 W 10th Avenue, Vancouver West, BC","1,065 sq.ft.","Residential, Condo","2006","12","2","2+1","$2,725",NA
"$997,900","409 300 Morrissey Road, Port Moody, BC","1,245 sq.ft.","Residential, Condo","2021",NA,"2","2",NA,NA
"$995,000","1002 9262 University Crescent, Burnaby, BC","1,207 sq.ft.","Residential, Condo","2006","12","2","2","$2,553",NA
"$995,000","805 933 Hornby Street, Vancouver West, BC","856 sq.ft.","Residential, Condo","2005","13","2","2","$1,904",NA
"$990,800","805 538 W 7th Avenue, Vancouver West, BC","762 sq.ft.","Residential, Condo","2014","4","2","2","$1,939",NA
"$990,000","908 5728 Berton Avenue, Vancouver West, BC","856 sq.ft.","Residential, Condo","2013","5","2","2","$1,631",NA
"$990,000","2901 688 Abbott Street, Vancouver West, BC","915 sq.ft.","Residential, Condo","2007","11","2","2","$2,221",NA
"$990,000","832 8988 Patterson Road, Richmond, BC","1,001 sq.ft.","Residential, Condo","2017","1","2","3+1",NA,NA
"$989,000","906 1199 Marinaside Crescent, Vancouver West, BC","769 sq.ft.","Residential, Condo","1999","19","1","1","$2,110",NA
"$989,000","228 3769 W 7th Avenue, Vancouver West, BC","1,085 sq.ft.","Residential, Condo","1989","29","2","2","$1,989",NA
"$989,000","717 1618 Quebec Street, Vancouver East, BC","880 sq.ft.","Residential, Condo","2014","4","2","2","$2,251",NA
"$988,888","802 6080 Minoru Boulevard, Richmond, BC","1,316 sq.ft.","Residential, Condo","1998","20","3","2","$2,108",NA
"$988,000","304 5760 Hampton Place, Vancouver West, BC","1,289 sq.ft.","Residential, Condo","1994","24","2","2","$1,872",NA
"$988,000","1001 1238 Melville Street, Vancouver West, BC","815 sq.ft.","Residential, Condo","1996","22","2","1","$1,730",NA
"$988,000","3602 5665 Boundary Road, Vancouver East, BC","958 sq.ft.","Residential, Condo","2017","1","2","2","$1,780",NA
"$988,000","2004 2077 Rosser Avenue, Burnaby, BC","1,067 sq.ft.","Residential, Condo","2013","5","2","2","$3,000",NA
"$988,000","1114 1333 W Georgia Street, Vancouver West, BC","947 sq.ft.","Residential, Condo","2006","12","2","2","$2,389",NA
"$988,000","2901 4808 Hazel Street, Burnaby, BC","1,160 sq.ft.","Residential, Condo","2008","10","4","2","$3,077",NA
"$988,000","902 10780 No 5 Road, Richmond, BC","1,489 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$988,000","1007 565 Smithe Street, Vancouver West, BC","788 sq.ft.","Residential, Condo","2009","9","2","2","$2,054",NA
"$988,000","2801 6220 Mckay Avenue, Burnaby, BC","1,471 sq.ft.","Residential, Condo","1991","27","2","2","$3,114",NA
"$988,000","206 3580 W 41st Avenue, Vancouver West, BC","993 sq.ft.","Residential, Condo","2003","15","2","2","$1,474",NA
"$988,000","2 1296 Salsbury Drive, Vancouver East, BC","866 sq.ft.","Residential, Condo","2013","5","2","2+1","$1,863",NA
"$988,000","103 1633 W 11th Avenue, Vancouver West, BC","955 sq.ft.","Residential, Condo","1985","33","2","2","$1,765",NA
"$988,000","1901 8833 Hazelbridge Way, Richmond, BC","933 sq.ft.","Residential, Condo","2016","2","2","2","$2,166",NA
"$987,900","201 209 E 20th Avenue, Vancouver East, BC","769 sq.ft.","Residential, Condo","2019",NA,"2","2+1",NA,NA
"$987,600","702 5599 Cooney Road, Richmond, BC","823 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$986,000","1101 6200 River Road, Richmond, BC","900 sq.ft.","Residential, Condo","2014","4","2","2","$2,328",NA
"$980,000","603 5782 Berton Avenue, Vancouver West, BC","890 sq.ft.","Residential, Condo","2011","7","2","2","$1,660",NA
"$980,000","1208 5028 Kwantlen Street, Richmond, BC","1,138 sq.ft.","Residential, Condo","2006","12","3","2","$2,322",NA
"$979,900","3003 2345 Madison Avenue, Burnaby, BC","1,173 sq.ft.","Residential, Condo","2008","10","3","2","$3,398",NA
"$979,900","312 125 Milross Avenue, Vancouver East, BC","1,164 sq.ft.","Residential, Condo","2007","11","2","2","$2,579",NA
"$979,000","4404 4485 Skyline Drive, Burnaby, BC","833 sq.ft.","Residential, Condo","2017","1","2","2","$3,047",NA
"$979,000","3301 6538 Nelson Avenue, Burnaby, BC","851 sq.ft.","Residential, Condo","2017","1","2","2","$2,606",NA
"$978,800","312 1351 Continental Street, Vancouver West, BC","984 sq.ft.","Residential, Condo","2014","4","2","2","$2,374",NA
"$978,000","1112 5233 Gilbert Road, Richmond, BC","1,114 sq.ft.","Residential, Condo","2016","2","3","3","$1,798",NA
"$978,000","119 530 Ravenwoods Drive, North Vancouver, BC","1,359 sq.ft.","Residential, Condo","2006","12","3","2","$3,023",NA
"$978,000","1801 1033 Marinaside Crescent, Vancouver West, BC","750 sq.ft.","Residential, Condo","2002","16","1","1","$2,177",NA
"$978,000","1302 1238 Melville Street, Vancouver West, BC","875 sq.ft.","Residential, Condo","1996","22","2","2","$2,116",NA
"$975,000","311 6168 London Road, Richmond, BC","1,067 sq.ft.","Residential, Condo","2015","3","2","2","$2,071",NA
"$975,000","518 1082 Seymour Street, Vancouver West, BC","890 sq.ft.","Residential, Condo","2006","12","2","2","$1,886",NA
"$974,000","1805 867 Hamilton Street, Vancouver West, BC","1,004 sq.ft.","Residential, Condo","1995","23","2","2","$2,112",NA
"$970,900","301 128 E 8th Street, North Vancouver, BC","1,028 sq.ft.","Residential, Condo","2021",NA,"3","2",NA,NA
"$969,900","903 2788 Prince Edward Street, Vancouver East, BC","945 sq.ft.","Residential, Condo","2013","5","2","2","$2,199",NA
"$969,000","304 108 E 35th Avenue, Vancouver East, BC","885 sq.ft.","Residential, Condo","2019",NA,"2","2",NA,NA
"$969,000","402 630 E Broadway Avenue, Vancouver East, BC","817 sq.ft.","Residential, Condo","2018",NA,"1","2",NA,NA
"$969,000","3003 193 Aquarius Mews, Vancouver West, BC","717 sq.ft.","Residential, Condo","2000","18","1","1","$2,161",NA
"$969,000","2903 602 Citadel Parade, Vancouver West, BC","885 sq.ft.","Residential, Condo","2008","10","2","2","$2,095",NA
"$968,000","1101 7117 Elmbridge Way, Richmond, BC","1,072 sq.ft.","Residential, Condo","2015","3","3","2","$1,918",NA
"$968,000","315 5311 Cedarbridge Way, Richmond, BC","1,071 sq.ft.","Residential, Condo","2016","2","2","2","$1,713",NA
"$968,000","3108 602 Citadel Parade, Vancouver West, BC","885 sq.ft.","Residential, Condo","2007","11","2","2","$2,131",NA
"$968,000","516 5955 Birney Avenue, Vancouver West, BC","896 sq.ft.","Residential, Condo","2014","4","2","2","$1,550",NA
"$968,000","309 1485 W 6th Avenue, Vancouver West, BC","898 sq.ft.","Residential, Condo","2000","18","2","2","$2,449",NA
"$968,000","1101 6168 Wilson Avenue, Burnaby, BC","1,155 sq.ft.","Residential, Condo","2012","6","2","2","$3,227",NA
"$968,000","1807 1008 Cambie Street, Vancouver West, BC","897 sq.ft.","Residential, Condo","1997","21","2","2","$2,103",NA
"$968,000","3210 6538 Nelson Avenue, Burnaby, BC","756 sq.ft.","Residential, Condo","2017","1","2","2","$2,986",NA
"$967,900","308 680 Seylynn Crescent, North Vancouver, BC","1,229 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$960,000","1604 4398 Buchanan Street, Burnaby, BC","1,307 sq.ft.","Residential, Condo","2000","18","2","2","$2,899",NA
"$960,000","2701 2077 Rosser Avenue, Burnaby, BC","1,104 sq.ft.","Residential, Condo","2013","5","2","2","$2,875",NA
"$960,000","211 1001 W 43rd Avenue, Vancouver West, BC","1,258 sq.ft.","Residential, Condo","1994","24","3","2","$2,379",NA
"$960,000","404 2140 Briar Avenue, Vancouver West, BC","1,364 sq.ft.","Residential, Condo","1980","38","2","2","$2,273",NA
"$959,000","2303 1550 Fern Street, North Vancouver, BC","974 sq.ft.","Residential, Condo","2015","3","1","2","$3,613",NA
"$959,000","406 2601 Whiteley Court, North Vancouver, BC","1,104 sq.ft.","Residential, Condo","2009","9","3","2","$3,591",NA
"$959,000","1107 125 E 14th Street, North Vancouver, BC","873 sq.ft.","Residential, Condo","2017","1","2","2","$2,808",NA
"$959,000","201 825 W 15th Avenue, Vancouver West, BC","1,137 sq.ft.","Residential, Condo","1990","28","2","2","$1,944",NA
"$958,900","2005 6638 Dunblane Avenue, Burnaby, BC","877 sq.ft.","Residential, Condo","2018",NA,"2","2","$1,423",NA
