,Title,Price,Bedrooms,SqFt,Location
1,West Van Dunbar place whole house for rent (expect bsmt),6000,6,6512,W 34th Avenue
2,West Van Dunbar place full furnished single room<U+3001>suite room for rent,1000,1,NA,W 34th Avenue
3,"JR 1 Bedroom apt, English Bay Beach, Ocean and Mountain View, West End",1790,1,450,NA
4,"JR 1 Bedroom apt, English Bay Beach, Ocean and Mountain View, West End",1820,1,450,NA
5,Bachelor suite for rent,1550,NA,600,Barclay Street
6,2 Bedroom - Fully Furnished Basement Suite (North Van),950,2,NA,North Vancouver
7,Vancouver West One bedroom & den condo with view,1850,1,510,W Broadway
8,Large One Bedroom with Beautiful Views of English Bay,2450,1,750,Seymour Street
9,One bedroom Alma & 6th Ave,1575,1,730,NA
10,Bright one bedroom apartment,1650,1,550,Barclay Street
11,Ocean view big and bright studio apartment,1650,NA,600,Barclay Street
12,Bachelor suite for rent with ocean view,1650,NA,600,Barclay Street
13,Shangri La - Beautiful furnished 1 br apartment,3500,1,590,Alberni Street
14,Yaletown 1133 Homer St. Fully Furnished Rental @ Homer and Helmcken,2395,1,NA,"Homer Street, Yaletown"
15,Downtown Vancouver Furnished Condo Rental in the Wall Centre,2000,1,700,Richard Street
16,concrete bachleor suite for rent,1200,NA,500,NA
17,2 bedroom 2 levels Laneway house,1650,2,650,Dundas Street
18,FULLY FURNISHED @ L'Hermitage Hotel & Residences! Downtown,2500,1,634,Robson Street
19,Marine gateway  brand new townhouse close to Langara,3800,3,1700,W 62nd Avenue
20,Large Unit - Ideal for a Couple - Heart of the West End,1840,1,647,Barclay Street
21,Brand new 2 Bedrooms Ground floor furnished suite,1850,NA,NA,NA
22,Furnished One Bedroom + Flex + Den suite in Residence of Trump Tower,5500,1,880,"Cordova Street, Coal Harbour"
23,Fully Furnished One Bedroom + den suite in Residence of Trump Tower,3800,1,600,"Cordova Street, Coal Harbour"
24,Totally renovated,2300,3,1300,Rupert Street
25,"Two bedroom two blocks from Jericho Beach,",2450,2,850,NA
26,"Spacious 2 Bed, 2 Bath, 1294@ features Skyline, Mnts & Water  Views",3300,2,1274,"W 1st Avenue, False Creek"
27,Spectacular Fully Renovated 2 Bedroom + Den in the Heart of Yaletown,3750,2,1300,Howe Street
28,1 bdr available as of december 1st WEST VANCOUVER,1650,1,620,West Vancouver
29,Incredible Stanley Park and Coal Harbour views !,2980,1,NA,Barclay Street
30,Heart of Mt Pleasant! 3 Bedroom 1 Bath Main Floor,2500,3,975,Prince Albert Street
31,Renovated top floor unit near Sunset Beach,2200,1,550,Barclay Street
32,Massive 1bed/1bath @ Cielo w/ A/C!,2950,1,800,NA
33,HOUSE- TWO BED ROOM GROUND LEVEL,1388,2,NA,NA
34,1 bedroom apartment available in downtown Vancouver,1600,1,NA,Comox Street
35,3 bed great views,3000,3,NA,E 7th Avenue
36,Executive Modern 1BR furnished suite Commercial Drive Dec 1st,1900,1,530,Venables Street
37,1br+Den Brand new in Downtown Vancouver,2100,1,490,Drake Street
38,$1500 p/m Small Appt in Gastown available for 1.5 months - 15 Dec,1500,1,700,NA
39,"Roche Point Neighbourhood, 2 Bed Penthouse Now Available",2600,2,1350,North Vancouver
40,4 Bedrooms with Jacuzzi tub,3400,4,NA,E 7th Avenue
41,"SPECTACULAR, All Water View ""Home"" at The Concord Available Now",8500,3,2428,"Homer Street, Yaletown"
42,Shaughnessy 6 Bedroom Home Available Now,4500,6,3500,NA
43,"Kits Point, Fully Renovated Duplex, 2Bed & Loft",5300,2,1511,NA
44,6 Bedroom Home in Dunbar Area for Jan 1st,5500,6,4500,NA
45,2 Bedroom Unfurnished Suite at Pacific Palisades,2680,2,888,NA
46,An amazing apartment in the heart of Vancouver,1500,1,650,NA
47,"Absolutely stunning 2 bedroom 2 bathroom apartment at ""The Patina""!",3700,2,1058,NA
48,Beautiful fully furnished 1 bedroom with English Bay & mountains views,2000,1,574,Barclay Street
49,UBC Prime Location Fully Furnished $2200/month,2200,2,691,Western Parkway
50,New 3 Bedroom Town House,2750,3,1400,Kerr Street
51,One block from the beach! Two bedroom one bathroom suite,1695,2,900,"W Broadway, Kitselano"
52,No more roommates - Private micro suite in a convenient location,650,NA,NA,Dundas Street
53,Luxury Single House,5500,5,4000,Kerr Street
54,2 Bedroom ground level suite for rent,1500,2,NA,Vancouver
55,BRAND NEW beautiful 2 Bedroom Suite for Rent,1550,2,1000,NA
56,Rarely available Yaletown 3 bedroom corner unit at the Landmark 33!,3500,3,1146,"Homer Street, Yaletown"
57,1300 sqft 2 bedroom & large den at the Residences on Georgia!,3100,2,1300,Barclay Street
58,"<U+2605> QUIET 3 BR HOUSE w/ Deck, Garden, Garage <U+2605> (furnished on request)",2750,3,1114,E 7th Avenue
59,Fully Renovated Legal 2 Bedroom Suite on Bike Path near Fraser & Main,1950,2,800,Main Street
60,Unfurnished 2 bedroom loft style suite,3600,2,1076,"Homer Street, Yaletown"
61,Fully Furnished 1 bedroom and Den,2400,1,536,"Homer Street, Yaletown"
62,Fully furnished 3 bedroom luxury suite,4500,3,1425,Quebec Street
63,Unfurnished 2 bedroom plus den Garden Level suite,2450,2,1252,Larch Street
64,"Unfurnished 4 bedroom, 2 living room house",3800,4,2700,W 10th Avenue
65,Unfurnished 2 bedroom garden level suite,1400,2,550,NA
66,Unfurnished 1 bedroom suite,1750,1,542,Barclay Street
67,Unfurnished 1 bedroom and Solarium with 2 balconies,2300,1,716,"Homer Street, Yaletown"
68,Fully Furnished 2 bedroom with large patio,3000,2,760,Crosstown
69,Fully furnished 2 bedroom and den,2800,2,840,Little Mountain
70,Unfurnished 2 bedroom at the Max,2500,2,715,"Homer Street, Yaletown"
71,Making living more comfortable.,700,1,580,Coquitlam
72,<U+3010><U+51FA><U+79DF><U+3011><U+6E29><U+897F>W59<U+5939>Oak House<U+534A>,1700,2,1230,NA
73,"housing for 1,  students welcome",740,1,NA,Fraser Street
74,Pet-friendly 1Bdrm Downtown,2000,1,737,"Keefer Street, Chinatown"
75,Large 2 bedroom corner suite (City Hall Area Vancouver),2300,2,NA,W 10th Avenue
76,(ORCA_REF#1509-610G)******FURN or UNF****** Hudson building 1bed + den,2000,1,505,Vancouver
77,Furnished two bedroom 2 level penthouse in Yaletown - executive home,4300,2,1400,Hamilton Street
78,Furnished 1 bedroom + Den Yaletown waterfront for rent December 1,2950,1,720,Marinaside Cresent
79,"(ORCA_REF#807W)Great Location, Cozy family home",3075,4,1753,W 70th Avenue
80,"Private 1 bedroom Suite, near 4th, JERICHO BEACH AVAILABLE DEC 1st!",1650,1,NA,NA
81,(ORCA_REF#7338G)***Contemporary architecturally designed townhouse***,4975,4,1700,NA
82,Yaletown Condo with Beautiful View at Governor's Tower(HID 4001),3990,2,1202,Drake Street
83,"RENO'D PENTHOUSE LOFT, NEW APPLIANCES, D/W, PRIVATE VIEW ROOF DECK",1950,1,1100,Commercial Drive
84,1 Bedroom 1 bath for Rent,1875,1,570,Cordova Street
85,Furnished room with private bathroom in shared house for rent,1000,1,130,Vancouver East
86,KITSILANO 2bed 2ba,2700,2,950,NA
87,private 3 bedroom house east van/ whole private place NV. 1 bedm,2500,7,NA,East Vancouver
88,False Creek/ Olympic Village 2 Bed/2 Bath Beautiful Water View,3095,2,1150,W 1st Avenue
89,Beautiful 4 Bedroom House Utilities Included,5000,4,2900,W 22nd Avenue
90,Killarney Basement Suite,1550,2,700,E 44th Avenue
91,full 1 bedrm nv full 3 bedroom east van,2500,NA,NA,East Vancouver
92,Two Bedroom and Den Apartment in Kerrisdale,3100,2,1180,West Boulevard
93,South Granville 6 Bedroom Tudor House,6000,5,3900,Wiltshire Street
94,1BR Apartment Fully Furnished Available from November 12-15,250,1,650,E 7th Avenue
95,VIEWS!BrandNEW OPULENT FURNISHED LUXURYonSEAWALL*OpenFLOORPLAN+LG DECK,4650,2,1100,"W 2nd Avenue, Olympic Village"
96,Beautiful 1 bedroom &Den apartment at the DOLCE,2100,1,575,Smithe Street 
97,":: 2-BEDROOM Apartment, DOWNTOWN, $2,500/mo ::",2500,2,900,Helmcken Street
98,Amazing 2 Beds 2 Baths +Den Highrise Condo @SE False Creek,3000,2,826,Quebec Street
99,Amazing 1 Bed 1 Bath +Den Condo @Yaletown,2200,1,669,Homer Street
100,Bachelor suite on Killarney and 41st.,1300,NA,450,Kerr Street
101,Furnished: 1 bedroom 850 sqf Character Apartment - 6 month lease,1800,1,850,South Granville
102,Two Bedroom Ground Floor Suite,1400,2,800,Commercial Drive
103,Recently Renovated Micro-Units,1050,NA,NA,"Powell Street, Gastown"
104,Gorgeous Spacious Character 4BR +Den Executive Home with Big Backyard,4800,4,4069,Larch Street
105,1 NICE BED ROOM FOR RENT,1000,1,500,E 11th Avenue
106,WILLOUGHBY HEIGHT BRAND NEW CORNER UNIT 3BED+DEN 3BATHS TOWNHOME,2400,4,1750,NA
107,"Addition| Unfurnished 1 Bed+Den+Balcony, A/C, Pet-friendly, 1 parking",2100,1,537,NA
108,Nice one bedroom and den in Vancouver West to rent,800,1,NA,West Vancouver
109,Pet Friendly Suite for rent!!  1 Bedroom & Den,1750,1,675,W 13th Avenue
110,Beautiful 2 bedroom yaletown apartment for rent,2600,2,720,NA
111,"UNOBSTRUCTED WATER, MT. PARK VIEWS",3650,2,1004,"Cordova Street, Coal Harbour"
112,"New Luxurious, View Furnished 2 bedroom condo",6500,2,1200,"W 2nd Avenue, Olympic Village"
113,"1 Bed. available Dec.01, Amazing view, Close to shops & Restaurants",2000,1,650,NA
114,Fully Furnished 1-Bedroom Garden Suite - Vancouver,1950,1,600,George Street
115,Fully Furnished 1-Bedroom Garden Suite - Vancouver,1950,1,600,E 31st Avenue
116,"1 Bed, Available Dec. 1 $1875, Close to sky Train and Shops",1875,1,500,Barclay Street
117,"1 Bed, Available Now $1825, Close to sky Train and Shops",1825,1,500,Barclay Street
118,beautiful kitsilano townhouse for rent,3700,2,1400,Kitsliano Vancouver
119,2 BR Laneway House Suite,1550,NA,NA,Vancouver
120,Beautiful One Bedroom Garden Suite,1800,1,550,Main Street
121,L'hermitage en Ville (Downtown Living on Robson),2100,1,660,"Homer Street, Yaletown"
122,Top Floor 1 Bedroom Lease Take Over West End Davie Village Dec 1st,1695,1,550,Barclay Street
123,1bdr available for rent from December 1st! (Kitsilano),1700,1,NA,"W Broadway, Kitselano"
124,"Addison | Furnished 1 Bed + Den w/ A/C, 1 Parking, Pet-Friendly #22383",2100,1,534,NA
125,"2 B 2 B Dec 1 St, will consider Dec 15 Th, or Jan 1/19, $1450.00 (Abbo",1450,2,917,NA
126,Granville Island Penthouse Loft w/ Rooftop Deck @ The Waterfall (509),3990,1,970,W 2nd Avenue
127,Downtown Furnished Luxury Condo w/ Water Views @ The Discovery (2206),3950,1,961,NA
128,Kerrisdale High End Renovated 5 Bed 3.5 Bath 3 Level Whole House,6600,5,2615,W 49th Avenue
129,Kerrisdale Bright 1 Bed 1 Bath Basement Suite w/ Laundry,1450,1,600,W 37th Avenue
130,Yaletown 2 Bed  2 Bath Condo by David Lam Park @ Governor's Tower,2990,2,1159,Drake Street
131,Coal Harbour 2 Bed 2 Bath 1190sf View Condo w/ Fireplace @ Bauhinia,3450,2,1190,Nicola Street
132,whole single house for rent,2000,2,945,Cambie Street
133,Coal Harbour 1 Bedroom with Amazing Views!,2400,1,710,NA
134,Penthouse Studio 630 SF Top Floor,1400,1,630,"Fraser Street, East Vancouver"
135,Apartment behind kings gate mall,1325,1,625,Kingsway  Broadway
136,Large spacious 2 bedroom above ground suite,1800,2,NA,NA
137,Perfect Downtown location Furnished 1 bedroom all amenities included,2200,1,651,NA
138,$1575 Bedroom in beautiful downtown Condo with Large Patio,1575,2,900,NA
139,"2 Bedroom Main St. & 46th Ave, Langara / Oakridge, Canada Line",1400,2,500,Main Street
140,"LargeFurnished 1 BR downtown including TV, internet and all utilities",2200,1,651,Alberni Street
141,2 bedroom apartment  near  Vancouver General Hospital,1950,2,850,Oak Street
142,Penthouse 1 Bedroom and 1 Den Yaletown fully furnished apartment,2499,1,700,NA
143,New Furnished Studios in Chinatown: the Albert Block,1895,NA,420,Georgia Street
144,New Furnished Studios in Chinatown / Downtown: the Albert Block,1895,NA,420,Georgia Street
145,1 Bedroom in Pet Friendly Building that is 8 months New,1870,1,577,NA
146,Furnished Downtown Studio - Luxury NEON apartments,2650,NA,450,Continental Street
147,### One large bedroom ###,1775,1,850,Larch Street
148,ONE BEDROOM BASEMENT SUITE FOR RENT,1200,1,500,NA
149,1 bedroom basement for rent Vancouver,1200,NA,NA,Knight Street
150,"Westend 1 Bedroom w/parking, short term stays avail.",1800,NA,550,Davie Street
151,"New, Bright, Large rooms",2800,3,NA,NA
152,Two Bedroom Suite on Main Level,1300,2,NA,NA
153,"full house for rent,available",2900,4,2807,Maple Ridge
154,PROTECTION PROPERTY MGMT-Gorgeous Partially Furnished Home! REF#209535,7900,4,5367,W 35th Avenue
155,"One bedroom suite,  Best  location,  Close to bus stop  & VCC",1480,1,NA,Glen Drive
156,WAKE UP TO STUNNING VANCOUVER. 2 bed 2 bath + den,3750,2,1350,Milross Avenue
