"","price","building_number","street_number","street_name","city","province","squares","type","year","age","bed","bath","tax","longitude","latitude"
"1","$998,000","1106","5639","Hampton Place","Vancouver West","BC","1,091 sq.ft.","Residential, Condo",2000,18,2,"2","$1,673",-123.232849,49.258815
"2","$998,000","506","2655","Cranberry Drive","Vancouver West","BC","887 sq.ft.","Residential, Condo",2001,17,2,"2","$1,921",-123.1541596,49.2622278
"3","$998,000","1702","8333","Anderson Road","Richmond","BC","1,015 sq.ft.","Residential, Condo",2012,6,3,"2","$2,313",-123.1311539,49.1633969
"4","$998,000","102","655","W 41st Avenue","Vancouver West","BC","621 sq.ft.","Residential, Condo",2017,1,1,"1",NA,-123.1195239,49.2337984
"5","$998,000","1701","608","Belmont Street","New Westminster","BC","1,325 sq.ft.","Residential, Condo",2013,5,3,"3","$3,189",-122.9199805,49.211862
"6","$998,000","3101","111","W Georgia Street","Vancouver West","BC","814 sq.ft.","Residential, Condo",2007,11,2,"1","$2,202",-123.1106124,49.2781262
"7","$998,000","202","1959","W 2nd Avenue","Vancouver West","BC","1,026 sq.ft.","Residential, Condo",1993,25,2,"2","$2,231",-123.149284,49.2701079
"8","$998,000","3205","1199","Marinaside Crescent","Vancouver West","BC","761 sq.ft.","Residential, Condo",1999,19,1,"1","$2,197",-123.1198368,49.2734047
"9","$998,000","1607","1331","Alberni Street","Vancouver West","BC","749 sq.ft.","Residential, Condo",1999,19,2,"2","$1,940",-123.1275746,49.2881398
"10","$998,000","408","5790","East Boulevard","Vancouver West","BC","987 sq.ft.","Residential, Condo",2000,18,2,"2","$2,263",-123.1549493,49.2338597
"11","$998,000","507","233","Robson Street","Vancouver West","BC","982 sq.ft.","Residential, Condo",2009,9,2,"2","$2,212",-123.1150401,49.2785529
"12","$998,000",NA,"2877","Alberta Street","Vancouver West","BC","1,221 sq.ft.","Residential, Condo",2016,2,2,"2+1","$3,814",-123.1112801,49.259795
"13","$998,000","4205","6538","Nelson Avenue","Burnaby","BC","786 sq.ft.","Residential, Condo",2017,1,2,"2","$1,406",-122.9934732,49.2243416
"14","$998,000",NA,"939","E 11th Avenue","Vancouver East","BC","1,152 sq.ft.","Residential, Condo",1988,30,3,"3+1","$3,743",-123.0842662,49.2608273
"15","$998,000","1804","938","Smithe Street","Vancouver West","BC","860 sq.ft.","Residential, Condo",2005,13,2,"2","$2,138",-123.1241123,49.2816806
"16","$998,000","306","3088","W 41st Avenue","Vancouver West","BC","1,119 sq.ft.","Residential, Condo",2001,17,2,"2","$2,214",-123.1743433,49.2345708
"17","$998,000","608","2528","Maple Street","Vancouver West","BC","873 sq.ft.","Residential, Condo",2009,9,2,"2","$2,022",-123.1503064,49.263519
"18","$998,000","707","1308","Hornby Street","Vancouver West","BC","750 sq.ft.","Residential, Condo",2014,4,2,"1","$1,718",-123.1297228,49.2771532
"19","$998,000","103","4387","W 10th Avenue","Vancouver West","BC","1,065 sq.ft.","Residential, Condo",2006,12,2,"2+1","$2,725",-123.2056104,49.263897
"20","$997,900","409","300","Morrissey Road","Port Moody","BC","1,245 sq.ft.","Residential, Condo",2021,NA,2,"2",NA,-122.8290397,49.2797739
"21","$995,000","1002","9262","University Crescent","Burnaby","BC","1,207 sq.ft.","Residential, Condo",2006,12,2,"2","$2,553",-122.904599,49.2796712
"22","$995,000","805","933","Hornby Street","Vancouver West","BC","856 sq.ft.","Residential, Condo",2005,13,2,"2","$1,904",-123.1241015,49.2813233
"23","$990,800","805","538","W 7th Avenue","Vancouver West","BC","762 sq.ft.","Residential, Condo",2014,4,2,"2","$1,939",-123.1161025,49.2648519
"24","$990,000","908","5728","Berton Avenue","Vancouver West","BC","856 sq.ft.","Residential, Condo",2013,5,2,"2","$1,631",-123.2332518,49.2556675
"25","$990,000","2901","688","Abbott Street","Vancouver West","BC","915 sq.ft.","Residential, Condo",2007,11,2,"2","$2,221",-123.107294,49.2788489
"26","$990,000","832","8988","Patterson Road","Richmond","BC","1,001 sq.ft.","Residential, Condo",2017,1,2,"3+1",NA,-123.1259654,49.1901941
"27","$989,000","906","1199","Marinaside Crescent","Vancouver West","BC","769 sq.ft.","Residential, Condo",1999,19,1,"1","$2,110",-123.1198368,49.2734047
"28","$989,000","228","3769","W 7th Avenue","Vancouver West","BC","1,085 sq.ft.","Residential, Condo",1989,29,2,"2","$1,989",-123.1868443,49.2663016
"29","$989,000","717","1618","Quebec Street","Vancouver East","BC","880 sq.ft.","Residential, Condo",2014,4,2,"2","$2,251",-123.1016878,49.2715087
