square_neighborhood,avg_price_rent,n,predicted_house,price_rent_ratio
_South Slope,1565,5,1321590.90783387,70.3722528133049
_University Hill (UBC),2176.81818181818,11,1512663.39192349,57.9080438197203
_Metrotown,2110.97222222222,36,1280332.18782036,50.5427536477542
_Middlegate,2109.125,8,1254573.65542985,49.5692785487605
_Maple Ridge,1817.5,31,1047620.03674866,48.0339310751334
_Richmond Central,2291.25,28,1265248.47310585,46.0174021860649
_Killarney,2680,5,1387764.28451288,43.1518745184354
_Arbutus Ridge,2650,3,1366299.02539801,42.9653781571702
801-901_Riley Park,1660,5,828925.608124365,41.6127313315445
601-701_Univercity,1083.33333333333,3,520626.430040373,40.0481869261826
701-801_Burnaby Central,1500,3,703518.765816676,39.0843758787042
401-501_Renfrew-Collingwood,1066.66666666667,3,499441.230158978,39.0188461061702
901-1001_Burnaby Central,1650,3,754664.586184527,38.1143730396226
1101-1351_South Slope,1875,4,821050.032307001,36.4911125469778
701-801_South Slope,1563.33333333333,3,673455.722935365,35.8984926937828
401-501_Richmond Central,1216.66666666667,3,512563.704538623,35.1071030505906
801-901_Hastings-Sunrise,1680,4,694280.211224794,34.4385025409124
401-501_Univercity,1135,3,468436.817420117,34.3933052437678
2101-2351_Richmond Central,2733.33333333333,3,1112829.23066878,33.927720447219
401-501_Riley Park,1716.66666666667,3,690874.542203291,33.5375991360821
1101-1351_Hastings-Sunrise,1970.55555555556,9,786961.748367927,33.2800288286409
701-801_Hastings-Sunrise,1676.66666666667,3,669335.179696854,33.2671560485514
601-701_Brentwood,1600,5,632143.619954471,32.9241468726287
801-901_Kerrisdale,2042.14285714286,7,803524.733893741,32.7892802684866
501-601_Kerrisdale,1845,4,721918.612512878,32.6069834016657
701-801_Oakridge,1765,5,687982.752344605,32.4826606394998
2101-2351_Steveston,2806,5,1093378.04822434,32.4714317006517
601-701_Dundarave,1616.66666666667,3,628212.603300004,32.3820929536085
3101-3601_Maple Ridge,3085.71428571429,7,1196970.51477562,32.325592605823
_Kerrisdale,3671.11111111111,9,1411035.43011124,32.0301626084574
3101-3601_Richmond Central,3660,3,1405436.10653528,31.9999113509853
601-701_Strathcona,1866.66666666667,3,707883.694254722,31.6019506363715
1851-2101_Thompson,2633.33333333333,3,992960.463132673,31.4227994662238
1001-101_Maple Ridge,1411.11111111111,9,529954.555064181,31.2965288423729
401-501_Killarney,1570,5,583575.863591784,30.9753643095427
501-601_Mount Pleasant,1790,5,663102.517819898,30.8706944981331
1351-1601_Steveston,2336.25,4,862804.940175196,30.7759921589155
401-501_West End,1854.3137254902,51,684596.076339124,30.7659228554645
1851-2101_Richmond Central,2827.5,12,1041156.9387825,30.6854388087977
601-701_Kensington-Cedar Cottage,1630,5,599805.372316567,30.6648963352028
901-1001_University Hill (UBC),2326.66666666667,3,855646.432339052,30.6463621897941
701-801_Kerrisdale,2121.66666666667,6,779848.000437208,30.6303220910137
501-601_Maple Ridge,1016.66666666667,3,373264.341778729,30.5954378507155
601-701_Oakridge,1872,5,675605.492827335,30.0750308416727
401-501_Kensington-Cedar Cottage,1548.75,4,556662.247772929,29.9522328637573
501-601_Eastburn,1482,5,532463.525488112,29.940594100771
501-601_West End,1949.5,32,699858.346712513,29.9161471622003
1101-1351_Brentwood,2250,6,806080.680489545,29.8548400181313
601-701_Richmond Central,1547.33333333333,15,552989.043269718,29.7818312833756
901-1001_Oakridge,2333.33333333333,6,833808.948818564,29.7788910292344
2351-2601_Steveston,3283.33333333333,3,1171805.16711547,29.7412478963318
901-1001_Grandview-Woodland,1980,3,706248.097149482,29.7242465130253
2351-2601_Maple Ridge,2852.72727272727,11,1016357.51383504,29.6896448167237
601-701_Grandview-Woodland,1708.33333333333,3,605424.178785317,29.5328867700155
701-801_Riley Park,2283.33333333333,3,808422.546023551,29.5044724826113
1601-1851_Richmond Central,2745,4,970273.343439933,29.4557784893726
1351-1601_Brentwood,2625,4,926448.831499398,29.4110740158539
601-701_Richmond North,1704.54545454545,11,598332.178123271,29.2517953749155
401-501_Yaletown,2184.0625,16,766072.553819949,29.2296486410054
501-601_Fairview,1621.66666666667,3,567945.411620613,29.1852729506995
601-701_Metrotown,1797.5,38,629443.449178777,29.1814301890949
701-801_Metrotown,1979.13333333333,15,689253.606272494,29.0216932610442
601-701_Mount Pleasant,1990,8,692796.723972886,29.0115881060673
901-1001_Maple Ridge,1426.36363636364,11,496296.037345148,28.995413271705
1101-1351_Maple Ridge,1634.375,16,567719.375732509,28.9468132942006
1351-1601_Metrotown,2550,4,882482.833580191,28.8393082869344
1001-101_Richmond Central,2025,8,700340.0073665,28.8205764348354
601-701_University Hill (UBC),2169,5,747244.613937129,28.709259794726
1351-1601_Richmond Central,2535.83333333333,12,869705.602868621,28.5805324636418
501-601_Strathcona,1992.14285714286,7,682779.425490243,28.561348024571
501-601_Brentwood,1720,5,587963.116376599,28.4865850957655
2601-2851_Maple Ridge,2925,4,997809.300552486,28.4276154003557
601-701_Sunset,1578,5,538019.621483803,28.4125275392798
1601-1851_Steveston,2762.5,4,940659.576632045,28.3758544987042
401-501_Downtown,2085.55882352941,34,707491.392697248,28.2694572758823
801-901_Richmond Central,1921.81818181818,22,648551.382342795,28.1223005588566
501-601_Metrotown,1818.75757575758,33,613749.971355423,28.1213019415088
1001-101_Kerrisdale,2600,3,876694.845974202,28.0991937812244
701-801_Killarney,2148.75,4,723725.13664232,28.0676803041427
701-801_Kitsilano,2109.33333333333,15,710071.251891133,28.0527517340049
1101-1351_Richmond North,2480.69230769231,13,833643.087774274,28.0043829293558
601-701_Garden Village,1660,3,555167.693137032,27.8698641133048
701-801_Maple Ridge,1231.5,10,411695.922702314,27.8587036610038
501-601_Yaletown,2350.98148148148,54,785809.498642091,27.853951808066
601-701_Coal Harbour,2091.66666666667,6,697991.726249536,27.8084353087465
1851-2101_Port Coquitlam,2658.88888888889,9,886908.510666104,27.7969654408516
1101-1351_Kerrisdale,2841.25,8,947614.096485271,27.7933449621725
1351-1601_Port Coquitlam,2109,10,703130.845989964,27.7829479212092
701-801_Richmond Central,1872.22222222222,9,623807.053590685,27.7658925930572
401-501_Burquitlam,1126.66666666667,3,374332.491993356,27.68731449655
501-601_Richmond North,1709.78260869565,23,568023.736547032,27.6849882190755
2101-2351_Port Coquitlam,2803.33333333333,3,930996.307231978,27.6752766715808
901-1001_Richmond Central,2077,10,688803.265186948,27.6361444867175
501-601_Kitsilano,1985,22,657484.444945217,27.6022017189428
801-901_Maple Ridge,1305,10,432228.807438912,27.6008178441195
1851-2101_Steveston,3025,4,999893.704871882,27.5452811259472
501-601_Oakridge,1982,5,653149.048082733,27.4616989607607
901-1001_Port Coquitlam,1665.76923076923,13,548862.100110228,27.4578900232162
1851-2101_Middlegate,3033.33333333333,3,999119.370530816,27.4483343552422
2351-2601_Hastings-Sunrise,3645,4,1200043.73619978,27.435842162775
1101-1351_Richmond Central,2389.33333333333,15,786492.600184812,27.430684995285
401-501_Kitsilano,1937.27272727273,11,637469.728505349,27.4212694101315
1601-1851_Riley Park,3179,5,1046047.57660788,27.4207711179584
801-901_University Hill (UBC),2555.625,8,840679.738047535,27.4127248079411
601-701_Kitsilano,2101.45161290323,31,691199.45591829,27.4096031077686
1101-1351_Killarney,2662.5,4,871841.342140159,27.2876789402241
1601-1851_Maple Ridge,2259.09090909091,11,739705.024358611,27.2862349696335
501-601_Killarney,1770,6,579215.385192674,27.2700275514442
501-601_Lougheed,1362.5,4,445692.697181205,27.2594921823367
701-801_Kelvin,1591.33333333333,3,519547.83046435,27.2071549258667
701-801_Kensington-Cedar Cottage,1981.25,8,646727.91088857,27.20201517933
1101-1351_Steveston,2300,4,749463.531304883,27.154475771916
1351-1601_Oakridge,2983.33333333333,3,969201.551105091,27.0726690252819
601-701_New Westminster Downtown,1530.5,6,496678.79466122,27.0433842241762
801-901_Oakridge,2380,3,771258.134432024,27.0048366397767
601-701_Lougheed,1432,5,463384.975859472,26.9660716864218
601-701_South Slope,1854,5,597182.247038782,26.8420643221315
601-701_West End,2253.0303030303,33,725370.426569992,26.8294374319768
601-701_Hastings-Sunrise,1920.55555555556,9,617674.938683435,26.8010531682138
701-801_Richmond North,2108.65,20,676703.182071443,26.7431445898024
901-1001_Killarney,2300,3,737121.913327059,26.7073157002558
1001-101_Sunset,2116.66666666667,3,677859.179884534,26.6873692867927
501-601_Kensington-Cedar Cottage,1767.5,8,565712.822052628,26.6719859525048
1101-1351_Oakridge,2810,5,898523.63563402,26.6466084114478
601-701_Yaletown,2569.31034482759,29,821416.425731306,26.6419231716189
1101-1351_Metrotown,2702.10526315789,19,860859.245642007,26.5490288066455
_Seafair,3433.33333333333,3,1090355.86774681,26.4649482462819
901-1001_Richmond North,2301.17647058824,17,729757.029431302,26.426954457081
701-801_West End,2475.55555555556,9,784523.071167168,26.4089902771713
3101-3601_Seafair,4046.66666666667,6,1281153.55654077,26.3828986108066
501-601_Downtown,2304.55384615385,66,726526.558928968,26.2714104128186
1101-1351_Eastburn,2583.33333333333,3,814371.97270108,26.2700636355187
601-701_Downtown,2402.89473684211,59,757046.87852643,26.2546831161285
601-701_Queens Park,1695,3,533805.969324711,26.2441479510674
401-501_Strathcona,2100,3,660763.929717576,26.2207908618086
701-801_Brentwood,2180,4,684381.782744601,26.1613831324389
801-901_Victoria-Fraserview,2150,3,674422.47022136,26.1404058225333
901-1001_Metrotown,2428.26086956522,23,759040.23160596,26.0488291956686
1001-101_Richmond North,2513.63636363636,11,784425.553381995,26.0056693405725
601-701_Sapperton,1550,3,483563.788577079,25.9980531493053
801-901_Sapperton,1877.85714285714,7,584136.29941864,25.9221129449124
801-901_Port Coquitlam,1638.88888888889,18,509498.564017752,25.9067066449704
701-801_Port Coquitlam,1507.27272727273,11,467932.252140901,25.870802038349
2101-2351_Kerrisdale,3800,3,1179515.97459637,25.8665783902713
801-901_Richmond North,2251.48148148148,27,697817.30817221,25.828079345081
801-901_Brentwood,2330.35714285714,14,719356.256205759,25.7241062244716
501-601_Richmond Central,1712.5,4,526151.642967254,25.6034862757788
