square_feet,neighborhood,n_rent,n_housing,price_rent_ratio
801-901,Riley Park,5,6,41.3043842034806
701-801,Oakridge,5,5,37.5354107648725
801-901,Maple Ridge,10,3,34.4976585781183
801-901,Hastings-Sunrise,4,5,34.4523809523809
1101-1351,Brentwood,6,7,33.8830687830688
701-801,Metrotown,15,25,32.6993296729208
601-701,Richmond Central,15,17,31.3304356641407
601-701,Mount Pleasant,8,8,31.1735762144054
701-801,Hastings-Sunrise,3,14,31.0234592445328
601-701,Grandview-Woodland,3,3,31.0227642276423
601-701,Metrotown,38,10,30.6147426981919
1001-101,Richmond Central,8,16,30.4670781893004
501-601,Mount Pleasant,5,9,30.4345127250155
801-901,Richmond Central,22,35,30.0599220615399
501-601,West End,32,9,30.0076895310288
901-1001,Killarney,3,10,29.6847826086957
601-701,New Westminster Downtown,6,4,29.5382772514429
701-801,Kitsilano,15,24,29.4981958491361
701-801,Riley Park,3,4,29.3859489051095
801-901,University Hill (UBC),8,11,28.9874534041812
501-601,Metrotown,33,23,28.9252244035766
401-501,Killarney,5,4,28.7645966029724
601-701,Brentwood,5,14,28.6774553571429
601-701,Richmond North,11,20,28.5088197777778
401-501,West End,51,3,28.4771421521977
701-801,Kerrisdale,6,9,28.4323994064764
1101-1351,Steveston,4,8,28.4003623188406
901-1001,University Hill (UBC),3,5,28.3810888252149
1101-1351,Maple Ridge,16,5,27.8495857233907
601-701,Coal Harbour,6,4,27.8067729083665
701-801,Brentwood,4,7,27.7877238968982
901-1001,Port Coquitlam,13,6,27.709086944252
701-801,Richmond Central,9,11,27.6279525222552
801-901,Port Coquitlam,18,3,27.5896271186441
501-601,Richmond North,23,36,27.5347707847708
801-901,Metrotown,49,22,27.4610771618074
901-1001,Grandview-Woodland,3,6,27.4473905723906
1101-1351,Kerrisdale,8,3,27.3353864202962
601-701,Kensington-Cedar Cottage,5,3,27.0245398773006
701-801,New Westminster Downtown,3,20,26.8530865921788
601-701,West End,33,13,26.8093916507165
901-1001,Richmond Central,10,36,26.7224317480697
901-1001,Richmond North,17,44,26.6018310017351
801-901,Richmond North,27,63,26.5520057340258
701-801,Kensington-Cedar Cottage,8,15,26.2137539432177
1101-1351,Richmond North,13,38,26.175280900863
501-601,Killarney,6,11,26.1667522684472
601-701,Hastings-Sunrise,9,15,26.1506739947932
801-901,Oakridge,3,5,26.0272268907563
501-601,Kitsilano,22,15,26.0246291631682
801-901,Brentwood,14,17,25.9790924799038
701-801,West End,9,16,25.9571343413375
801-901,Sullivan Heights,3,4,25.9148044692737
501-601,Richmond Central,4,4,25.826703163017
601-701,Kitsilano,31,28,25.8110967201371
1001-101,Richmond North,11,27,25.7499162815619
601-701,Downtown,59,68,25.7212743272755
701-801,Yaletown,28,14,25.6897844423618
1101-1351,Richmond Central,15,27,25.5745403955853
1351-1601,Richmond Central,12,6,25.528535436521
1001-101,University Hill (UBC),6,4,25.5151098901099
501-601,Yaletown,54,7,25.3085787653699
401-501,Downtown,34,26,25.1926268084302
701-801,Killarney,4,10,25.1173162691487
701-801,Richmond North,20,21,25.1089258567977
601-701,Queens Park,3,3,25.0721075057358
801-901,Kitsilano,32,18,24.8852060109829
801-901,Downtown,23,37,24.866520604338
501-601,Downtown,66,67,24.6649089112769
501-601,Kensington-Cedar Cottage,8,4,24.4436586515794
1101-1351,Metrotown,19,27,24.2787075512079
901-1001,Metrotown,23,25,23.8006910176067
901-1001,Kitsilano,23,10,23.742133677053
701-801,Renfrew-Collingwood,5,10,23.6210956790123
1351-1601,Maple Ridge,15,10,23.5706765861875
601-701,Yaletown,29,7,23.5638506496412
801-901,Victoria-Fraserview,3,4,23.5532945736434
401-501,Kitsilano,11,4,23.496175504458
901-1001,Downtown,15,17,23.493851373485
1001-101,Port Coquitlam,8,4,23.4903225806452
801-901,Lougheed,15,5,23.3181741620347
901-1001,Univercity,3,7,23.0176056338028
701-801,Downtown,31,41,22.968225878621
801-901,Mount Pleasant,5,7,22.8899097675031
501-601,Coal Harbour,11,9,22.8479285099053
1101-1351,Oakridge,5,4,22.6201067615658
901-1001,Brentwood,5,11,22.3735978570233
701-801,Mount Pleasant,6,7,22.2559672247952
701-801,Downtown Eastside,3,3,22.2181852058878
1101-1351,Port Coquitlam,10,4,22.0538818076477
1101-1351,Willingdon Heights,4,7,21.4720711814137
901-1001,Lougheed,7,5,21.450238016163
601-701,Point Grey,3,9,21.1279350449857
601-701,Riley Park,4,5,21.0304397705545
801-901,Univercity,5,6,20.6906783529627
801-901,West End,9,3,20.6565392002794
1351-1601,Richmond North,7,8,20.6460647369012
1601-1851,Maple Ridge,11,3,20.5306282137268
901-1001,Mount Pleasant,5,4,19.7044691443788
701-801,Grandview-Woodland,3,9,19.4701019171834
1001-101,Yaletown,14,3,18.8983943958837
1001-101,Downtown,12,5,18.5228750349009
1001-101,Kitsilano,4,7,18.503861003861
901-1001,West End,8,4,17.9744298174332
1101-1351,Kitsilano,12,4,16.4904960593417
