square_neighborhood,avg_price_house,n,predicted_rent,price_rent_ratio
701-801_Cassin,562140,5,460.082243108579,101.8187524115
801-901_Cassin,635128.571428571,7,599.75963157556,88.247654836891
901-1001_Cassin,699275,12,711.095942025577,81.9480371392285
1001-101_Cassin,795725,4,841.088144618641,78.8388435753456
1101-1351_Cassin,851512.571428571,7,947.54653831566,74.8874889865747
901-1001_South Slope,824580,5,1677.3074979561,40.9674434078029
801-901_Maple Ridge,540233.333333333,3,1124.22027859918,40.0450385938067
701-801_Marpole,792433.333333333,9,1660.70055372817,39.7640086064065
901-1001_Eastburn,730966.666666667,3,1554.06334361284,39.1965289827106
801-901_Arbutus Ridge,786160,5,1677.93483251269,39.0440272553541
501-601_Marpole,629828.428571429,7,1353.12919995654,38.7883894476877
801-901_Eastburn,660520,5,1424.60864085019,38.6375119137873
401-501_Marpole,561000,3,1219.51421708493,38.3349364403056
701-801_Arbutus Ridge,700387.555555556,9,1524.52122558841,38.284563474741
601-701_Arbutus Ridge,663120,5,1447.32353501891,38.1808204336828
1101-1351_Eagle Ridge,799533.333333333,3,1760.43758786647,37.8472819695506
901-1001_Buckingham Heights,771333.333333333,3,1700.32318039742,37.8032708833352
801-901_Buckingham Heights,725800,5,1604.87575668086,37.6872372092047
801-901_Marpole,788500,4,1744.89929222291,37.6573786385255
1001-101_Eagle Ridge,705566.666666667,3,1581.9229502041,37.1681959697443
1001-101_Steveston,801262.666666667,3,1815.60878863083,36.776583869283
1101-1351_Queensborough,805722.222222222,9,1832.52126912843,36.6399668313006
601-701_Richmond Central,581743.529411765,17,1363.52721979964,35.5538391511567
501-601_Richmond Central,530738.75,4,1250.44915579283,35.3698740662705
801-901_Richmond Central,693236.457142857,35,1661.92417976269,34.7607342533243
901-1001_Queensborough,631400,5,1529.03918296331,34.411588174408
901-1001_Eagle Ridge,569300,3,1386.49371021142,34.2170082109009
601-701_Hastings-Sunrise,602685.866666667,15,1468.87996817316,34.1919171821
1101-1351_Steveston,783850,8,1920.29144947478,34.0161038321549
701-801_Richmond Central,620708,11,1526.01313178569,33.8959512138268
